origin,nights,year,month
NAT,905549.0,1997,10
FOR,6612165.0,1997,09
NAT,1276723.0,1997,09
FOR,8669402.0,1997,08
NAT,2914799.0,1997,08
FOR,7470982.0,1997,07
NAT,2077115.0,1997,07
FOR,6138588.0,1997,06
NAT,1122485.0,1997,06
FOR,4957680.0,1997,05
NAT,994565.0,1997,05
FOR,1716715.0,1997,04
NAT,1127118.0,1997,04
FOR,603425.0,1997,03
NAT,771837.0,1997,03
FOR,290177.0,1997,02
NAT,651301.0,1997,02
FOR,271037.0,1997,01
NAT,720630.0,1997,01
FOR,70484.0,1996,12
NAT,411037.0,1996,12
FOR,371024.0,1996,11
NAT,704292.0,1996,11
FOR,3272220.0,1996,10
NAT,874630.0,1996,10
FOR,5942984.0,1996,09
NAT,1128784.0,1996,09
FOR,7340912.0,1996,08
NAT,2683830.0,1996,08
FOR,6405119.0,1996,07
NAT,1971066.0,1996,07
FOR,5354059.0,1996,06
NAT,1040216.0,1996,06
FOR,4382268.0,1996,05
NAT,820952.0,1996,05
FOR,1821952.0,1996,04
NAT,976822.0,1996,04
FOR,540540.0,1996,03
NAT,761825.0,1996,03
FOR,265622.0,1996,02
NAT,668012.0,1996,02
FOR,226169.0,1996,01
NAT,627560.0,1996,01
FOR,290900.0,1995,12
NAT,692086.0,1995,12
FOR,406072.0,1995,11
NAT,674585.0,1995,11
FOR,3502509.0,1995,10
NAT,806304.0,1995,10
FOR,6380801.0,1995,09
NAT,1193609.0,1995,09
FOR,7532746.0,1995,08
NAT,2463075.0,1995,08
FOR,7206398.0,1995,07
NAT,1767627.0,1995,07
FOR,6066813.0,1995,06
NAT,914018.0,1995,06
FOR,4927804.0,1995,05
NAT,805761.0,1995,05
FOR,2163268.0,1995,04
NAT,1098476.0,1995,04
FOR,503124.0,1995,03
NAT,694364.0,1995,03
FOR,316706.0,1995,02
FOR,266315.0,1995,01
NAT,663894.0,1995,01
FOR,275184.0,1994,12
NAT,695979.0,1994,12
FOR,423977.0,1994,11
NAT,687326.0,1994,11
FOR,3940424.0,1994,10
NAT,759573.0,1994,10
FOR,6554940.0,1994,09
NAT,1179719.0,1994,09
FOR,8296565.0,1994,08
NAT,2469239.0,1994,08
FOR,7576172.0,1994,07
NAT,1779093.0,1994,07
FOR,6174686.0,1994,06
NAT,1079955.0,1994,06
FOR,4962101.0,1994,05
NAT,973498.0,1994,05
FOR,1967110.0,1994,04
NAT,1066190.0,1994,04
FOR,673917.0,1994,03
NAT,775488.0,1994,03
FOR,298759.0,1994,02
NAT,629783.0,1994,02
FOR,281035.0,1994,01
NAT,686467.0,1994,01
